Size,U,RS,AS
100,0.0001593,0.0001499,0.0001143
200,0.0002882,0.0002868,0.0002227
300,0.000521,0.0004304,0.000419
400,0.0007494,0.0005772,0.0005965
500,0.0007117,0.0006843,0.0006922
600,0.0008486,0.0010055,0.0008828
700,0.0010527,0.000937,0.0009102
800,0.0011974,0.0017946,0.0016681
900,0.0018321,0.0017933,0.0017607
1000,0.0015667,0.0014676,0.0015249
1100,0.0024111,0.0022783,0.0016971
1200,0.0018139,0.0021623,0.001843
1300,0.0025849,0.0036112,0.0019463
1400,0.0022079,0.0021413,0.002433
1500,0.0025555,0.0023951,0.0022545
1600,0.002608,0.0023725,0.0024154
1700,0.0031801,0.0026817,0.0024994
1800,0.0029196,0.0029124,0.0032091
1900,0.0034674,0.0028707,0.0029351
2000,0.0033079,0.0030198,0.0030787
2100,0.0034226,0.0035523,0.0034781
2200,0.0038379,0.003364,0.0037971
2300,0.0038309,0.0037359,0.0035561
2400,0.0044627,0.0038082,0.0038254
2500,0.0041524,0.0039456,0.0037664
2600,0.0051118,0.0042331,0.0040448
2700,0.0053913,0.0042768,0.0044113
2800,0.0052075,0.0044817,0.0044603
2900,0.0053429,0.0048693,0.0048142
3000,0.0054688,0.0047857,0.0046687
