Size,U,RS,AS
100,0.0001214,0.0001225,0.0001151
200,0.0002716,0.0002967,0.0002325
300,0.0004101,0.0003848,0.0003894
400,0.0005784,0.0005734,0.0005169
500,0.0007102,0.000719,0.0007725
600,0.0009075,0.0008893,0.0007703
700,0.0011483,0.0009098,0.0009677
800,0.0012575,0.0012304,0.0012576
900,0.0014371,0.0014098,0.0013661
1000,0.0016374,0.0014987,0.0017061
1100,0.0018268,0.0016603,0.0016541
1200,0.0018094,0.0019527,0.0017765
1300,0.0021696,0.0023269,0.0021049
1400,0.0021463,0.00203,0.0020981
1500,0.0023607,0.0025645,0.0024021
1600,0.0025411,0.0023737,0.0023529
1700,0.0029068,0.0025416,0.002543
1800,0.0028594,0.0027904,0.0028
1900,0.0032827,0.0029479,0.0029488
2000,0.0033004,0.0041814,0.0041541
2100,0.0036232,0.0034894,0.0043032
2200,0.0038909,0.0031566,0.0032344
2300,0.0034592,0.0032316,0.0033734
2400,0.0040564,0.0034866,0.0034051
2500,0.0037853,0.0042584,0.0044711
2600,0.0043057,0.0042884,0.0040364
2700,0.0047664,0.0047275,0.0056851
2800,0.0068125,0.0044822,0.0044047
2900,0.0049103,0.0051753,0.0044918
3000,0.0054194,0.0046902,0.0046362
