Size,U,RS,AS
100,1.69e-05,4.78e-05,4.35e-05
200,4.25e-05,0.0001881,0.0001752
300,8.12e-05,0.0004183,0.000233
400,6.08e-05,0.0006456,0.0001832
500,0.0001216,0.001048,0.0002147
600,0.0003581,0.0021596,0.0003101
700,0.0001195,0.0019923,0.0007668
800,0.0001661,0.0025341,0.0002909
900,0.00017,0.0032666,0.000341
1000,0.000223,0.0047719,0.0007844
1100,0.000316,0.0049676,0.0004554
1200,0.0003935,0.0064134,0.0008857
1300,0.0002817,0.0070419,0.0003356
1400,0.0003107,0.0082481,0.000478
1500,0.0003111,0.0094537,0.0008323
1600,0.0004407,0.0108611,0.0006722
1700,0.0003697,0.0124331,0.0006908
1800,0.000407,0.0153239,0.0007765
1900,0.000495,0.0158666,0.0006551
2000,0.0005799,0.0201894,0.0011528
2100,0.0005217,0.0196647,0.0010588
2200,0.0005556,0.0232964,0.000685
2300,0.0006071,0.0238753,0.0007814
2400,0.0007692,0.0265763,0.0010603
2500,0.0005513,0.0298369,0.0013613
2600,0.000691,0.0302928,0.0010396
2700,0.0006805,0.0418047,0.0011707
2800,0.0006242,0.0334069,0.0009386
2900,0.0006871,0.0436804,0.0012117
3000,0.0011946,0.0405998,0.0008489
